Year,Model,Price,Exterior_Color,Drivetrain,Fuel_Type,Engine,Mileage,Seller_Type
2023,CR-V EX-L,"$39,000 ",Black,AWD,Gasoline,1.5L Turbo,6,Dealer
2023,CR-V EX,"$34,405 ",Black,AWD,Gasoline,1.5L Turbo,2,Dealer
2023,CR-V EX-L,"$36,505 ",Black,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX-L,"$36,505 ",Black,AWD,Gasoline,1.5L Turbo,3,Dealer
2023,CR-V EX-L,"$36,505 ",Black,AWD,Gasoline,1.5L Turbo,8,Dealer
2023,CR-V EX,"$34,405 ",Black,AWD,Gasoline,1.5L Turbo,12,Dealer
2023,CR-V EX-L,"$37,055 ",Black,AWD,Gasoline,1.5L Turbo,10,Dealer
2023,CR-V EX-L,"$40,505 ",Black,AWD,Gasoline,1.5L Turbo,4,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,168,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,387,Dealer
2023,CR-V EX-L,"$37,450 ",Black,AWD,Gasoline,1.5L Turbo,7,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,11,Dealer
2023,CR-V EX-L,"$39,895 ",Black,AWD,Gasoline,1.5L Turbo,189,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,2,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX,"$34,250 ",Black,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX-L,"$35,655 ",Black,AWD,Gasoline,1.5L Turbo,8,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,6,Dealer
2023,CR-V EX-L,"$37,510 ",Black,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,6,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$40,440 ",Black,AWD,Gasoline,1.5L Turbo,0,Dealer
2023,CR-V EX-L,"$37,510 ",Black,AWD,Gasoline,1.5L Turbo,1,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$43,950 ",Black,AWD,Gasoline,1.5L Turbo,216,Dealer
2023,CR-V EX,"$34,800 ",Black,AWD,Gasoline,1.5L Turbo,4,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,6,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$36,900 ",Black,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX,"$32,888 ",Blue,AWD,Gasoline,1.5L Turbo,3,Dealer
2023,CR-V EX,"$32,888 ",Blue,AWD,Gasoline,1.5L Turbo,3,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,11,Dealer
2023,CR-V EX-L,"$37,450 ",Blue,AWD,Gasoline,1.5L Turbo,4,Dealer
2023,CR-V EX,"$34,860 ",Blue,AWD,Gasoline,1.5L Turbo,3,Dealer
2023,CR-V EX,"$34,405 ",Blue,AWD,Gasoline,1.5L Turbo,3,Dealer
2023,CR-V EX-L,"$40,505 ",Blue,AWD,Gasoline,1.5L Turbo,12,Dealer
2023,CR-V EX-L,"$34,904 ",Blue,AWD,Gasoline,1.5L Turbo,5177,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX,"$33,855 ",Blue,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$38,005 ",Blue,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,3,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,7,Dealer
2023,CR-V EX-L,"$37,055 ",Blue,AWD,Gasoline,1.5L Turbo,0,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,2,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,4,Dealer
2023,CR-V EX,"$34,250 ",Blue,AWD,Gasoline,1.5L Turbo,67,Dealer
2023,CR-V EX-L,"$36,505 ",Blue,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX-L,"$36,900 ",Blue,AWD,Gasoline,1.5L Turbo,–,Dealer
2023,CR-V EX-L,"$36,900 ",Blue,AWD,Gasoline,1.5L Turbo,12,Dealer
2023,CR-V EX-L,"$36,900 ",Blue,AWD,Gasoline,1.5L Turbo,6,Dealer
2023,CR-V EX,"$34,250 ",Blue,AWD,Gasoline,1.5L Turbo,5,Dealer
2023,CR-V EX,"$34,250 ",Blue,AWD,Gasoline,1.5L Turbo,5,Dealer
